age,arab,children_0_1,children_0_17,children_2_4,children_5_9,children_10_14,children_15_17,highest_cert,lf_char,marital,schooling,week_hours,yeshiva
20,0,0,0,0,0,0,0,3,6,4,12,0,0
19,0,0,3,0,1,1,1,3,6,4,12,0,0
16,0,0,3,0,1,1,1,1,6,4,11,0,0
16,0,0,1,0,0,0,1,1,6,4,8,0,0
18,0,0,0,0,0,0,0,1,6,4,9,0,0
15,0,0,1,0,0,0,1,1,6,4,10,0,1
15,0,0,1,0,0,0,1,1,6,4,9,0,1
17,0,0,1,0,0,0,1,1,6,4,9,0,1
18,0,0,0,0,0,0,0,2,6,4,13,0,1
18,0,0,0,0,0,0,0,2,6,4,13,0,1
16,0,0,1,0,0,0,1,1,6,4,10,0,1
18,0,0,0,0,0,0,0,3,6,4,13,0,1
17,0,0,1,0,0,0,1,1,6,4,10,0,1
16,0,0,1,0,0,0,1,1,6,4,10,0,1
15,0,0,1,0,0,0,1,1,6,4,10,0,1
15,0,0,1,0,0,0,1,9,6,4,9,0,0
15,0,0,1,0,0,0,1,9,6,4,8,0,0
17,0,0,1,0,0,0,1,1,6,4,,0,0
15,0,0,1,0,0,0,1,1,6,4,,0,0
15,0,0,1,0,0,0,1,1,6,4,,0,0
17,0,0,1,0,0,0,1,1,6,4,,0,0
15,0,0,1,0,0,0,1,1,6,4,,0,0
16,0,0,1,0,0,0,1,1,6,4,11,0,0
20,0,0,1,0,1,0,0,1,6,4,10,0,0
28,0,0,0,0,0,0,0,1,6,4,10,0,0
80,0,0,0,0,0,0,0,2,6,1,12,0,0
70,0,0,0,0,0,0,0,1,6,1,10,0,0
22,0,0,0,0,0,0,0,2,5,4,12,0,0
70,0,0,0,0,0,0,0,3,6,1,12,0,0
79,0,0,0,0,0,0,0,1,6,1,10,0,0
41,0,0,0,0,0,0,0,1,6,4,11,0,0
30,0,0,0,0,0,0,0,6,6,4,17,0,0
21,0,0,0,0,0,0,0,3,6,4,12,0,0
23,0,0,0,0,0,0,0,3,6,4,12,0,0
65,0,0,0,0,0,0,0,1,6,1,8,0,0
20,0,0,0,0,0,0,0,3,6,4,12,0,0
71,0,0,0,0,0,0,0,3,6,1,12,0,0
66,0,0,0,0,0,0,0,1,6,1,10,0,0
67,0,0,0,0,0,0,0,2,6,1,12,0,0
21,0,0,2,0,0,1,1,3,6,4,12,0,0
19,0,0,2,0,0,1,1,2,6,4,12,0,0
19,0,0,0,0,0,0,0,3,6,4,12,0,0
27,0,0,0,0,0,0,0,3,6,4,16,0,0
22,0,0,0,0,0,0,0,3,6,4,13,0,0
64,0,0,0,0,0,0,0,4,6,4,15,0,0
68,0,0,0,0,0,0,0,4,6,1,15,0,0
